unit_label,unit_bytes,ub,per_layer_raw_bytes,per_layer_aligned_bytes,per_layer_raw_MiB,per_layer_aligned_MiB,total_9layers_MiB
128B_tensor_align,128,1584,56098816,56098816,53.5,53.5,481.5
128B_tensor_align,128,1585,56131584,56131584,53.53125,53.53125,481.78125
128B_tensor_align,128,1586,56164352,56164352,53.5625,53.5625,482.0625
128B_tensor_align,128,1588,56229888,56229888,53.625,53.625,482.625
128B_tensor_align,128,1592,56360960,56360960,53.75,53.75,483.75
128B_tensor_align,128,1600,56623104,56623104,54.0,54.0,486.0
128B_tensor_align,128,1664,58720256,58720256,56.0,56.0,504.0
128B_tensor_align,128,1792,62914560,62914560,60.0,60.0,540.0
256B_nonvmm_pool,256,1584,56098816,56098816,53.5,53.5,481.5
256B_nonvmm_pool,256,1585,56131584,56131584,53.53125,53.53125,481.78125
256B_nonvmm_pool,256,1586,56164352,56164352,53.5625,53.5625,482.0625
256B_nonvmm_pool,256,1588,56229888,56229888,53.625,53.625,482.625
256B_nonvmm_pool,256,1592,56360960,56360960,53.75,53.75,483.75
256B_nonvmm_pool,256,1600,56623104,56623104,54.0,54.0,486.0
256B_nonvmm_pool,256,1664,58720256,58720256,56.0,56.0,504.0
256B_nonvmm_pool,256,1792,62914560,62914560,60.0,60.0,540.0
2MiB_vmm_granularity,2097152,1584,56098816,56623104,53.5,54.0,486.0
2MiB_vmm_granularity,2097152,1585,56131584,56623104,53.53125,54.0,486.0
2MiB_vmm_granularity,2097152,1586,56164352,56623104,53.5625,54.0,486.0
2MiB_vmm_granularity,2097152,1588,56229888,56623104,53.625,54.0,486.0
2MiB_vmm_granularity,2097152,1592,56360960,56623104,53.75,54.0,486.0
2MiB_vmm_granularity,2097152,1600,56623104,56623104,54.0,54.0,486.0
2MiB_vmm_granularity,2097152,1664,58720256,58720256,56.0,56.0,504.0
2MiB_vmm_granularity,2097152,1792,62914560,62914560,60.0,60.0,540.0
