ctx,device,ot_tag,ub_from,ub_to,alloc_from,alloc_to,slope_MiB_per_ub
32768,1,X1,1584,1584,6744.41,6744.41,
32768,2,X2,1584,1584,6725.85,6725.85,
32768,2,X3,1584,1584,6725.85,6725.85,
65536,1,X4,1584,1585,13247.45,13255.81,8.36
65536,1,X4,1585,1586,13255.81,13264.18,8.37
65536,1,X4,1584,1584,13247.45,13247.45,
65536,1,X4,1585,1585,13255.81,13255.81,
65536,1,X4,1586,1586,13264.18,13264.18,
131072,0,X4,1584,1585,26440.7,26457.36,16.66
131072,0,X4,1585,1586,26457.36,26474.02,16.66
131072,0,X4,1584,1584,26440.7,26440.7,
131072,0,X4,1585,1585,26457.36,26457.36,
131072,0,X4,1586,1586,26474.02,26474.02,
