kv	ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
f16	1586	warmup	1	14.565693410929791	10.399305716352112	64	256
f16	1586	warmup	2	14.437514437514439	10.577970384988538	64	256
f16	1586	eval	1	14.427382811892402	68.88277909572084	1085	256
f16	1586	eval	2	14.429571151454413	69.01268669442398	1085	256
f16	1586	eval	3	14.422790352460318	68.91025763163638	1085	256
f16	1586	eval	4	14.422003019043524	69.0575075917114	1085	256
f16	1586	eval	5	14.423247028980134	68.95225053472946	1085	256
f16	1664	warmup	1	14.59472584235085	10.35531345695636	64	256
f16	1664	warmup	2	14.587520478798892	10.500906359480151	64	256
f16	1664	eval	1	14.573502741953305	68.67315055135678	1085	256
f16	1664	eval	2	14.567581543033517	68.71942025383623	1085	256
f16	1664	eval	3	14.573339305366336	68.81249609560433	1085	256
f16	1664	eval	4	14.569556399691878	68.87083379855528	1085	256
f16	1664	eval	5	14.56913601381154	68.84516455993061	1085	256
q8_0	1586	warmup	1	15.104508447963378	10.524050775144913	65	256
q8_0	1586	warmup	2	15.110982195544256	10.62605790580343	65	256
q8_0	1586	eval	1	15.0224286032674	67.96178720225728	1086	256
q8_0	1586	eval	2	15.011893700546144	68.26856400470186	1086	256
q8_0	1586	eval	3	15.017461024849029	68.25340112165603	1086	256
q8_0	1586	eval	4	15.018162296704096	68.27930309088333	1086	256
q8_0	1586	eval	5	15.01099848822827	68.25734350966941	1086	256
q8_0	1664	warmup	1	14.302697941378044	10.449844924301322	65	256
q8_0	1664	warmup	2	14.314318959930532	10.589085487479139	65	256
q8_0	1664	eval	1	14.254261049641466	68.58380505223927	1086	256
q8_0	1664	eval	2	14.237860930469797	68.75671462183712	1086	256
q8_0	1664	eval	3	14.242474229327758	68.73613488991776	1086	256
q8_0	1664	eval	4	14.250008948003664	68.63080965965374	1086	256
q8_0	1664	eval	5	14.241025914606247	68.75157397422461	1086	256
q4_0	1586	warmup	1	14.836017957145234	10.455750059316275	65	256
q4_0	1586	warmup	2	14.849691825389666	10.497275311070606	65	256
q4_0	1586	eval	1	14.746377287445371	67.82902040279446	1086	256
q4_0	1586	eval	2	14.74191060689682	67.99848099157565	1086	256
q4_0	1586	eval	3	14.741229803219552	67.84676302531341	1086	256
q4_0	1586	eval	4	14.743665536722123	68.05452357979577	1086	256
q4_0	1586	eval	5	14.747343159557207	67.90900968091083	1086	256
q4_0	1664	warmup	1	14.166719376823723	10.397256787769114	65	256
q4_0	1664	warmup	2	14.168819939868856	10.562380116985672	65	256
q4_0	1664	eval	1	14.082006897212958	68.12034393372029	1086	256
q4_0	1664	eval	2	14.079487506654758	68.22970491406545	1086	256
q4_0	1664	eval	3	14.083420722059182	68.36259621752149	1086	256
q4_0	1664	eval	4	14.070993438519874	68.26232469672452	1086	256
q4_0	1664	eval	5	14.073914439396404	68.25477382749956	1086	256
q4_1	1586	warmup	1	15.04479293252046	10.33181169589695	65	256
q4_1	1586	warmup	2	15.052881183198798	10.539724708876587	65	256
q4_1	1586	eval	1	14.970235837937608	67.51927050339845	1086	256
q4_1	1586	eval	2	14.963957321390847	67.80176561791195	1086	256
q4_1	1586	eval	3	14.964976401810551	67.82696155447904	1086	256
q4_1	1586	eval	4	14.960564303135163	67.77992594512585	1086	256
q4_1	1586	eval	5	14.964718338280266	67.87170822215123	1086	256
q4_1	1664	warmup	1	14.9914686245837	10.316510543473775	65	256
q4_1	1664	warmup	2	14.9990022148136	10.418241089959588	65	256
q4_1	1664	eval	1	14.907956760869036	67.82907547658513	1086	256
q4_1	1664	eval	2	14.914454244289555	67.9842549467153	1086	256
q4_1	1664	eval	3	14.909583857207187	67.93486760207432	1086	256
q4_1	1664	eval	4	14.91160389560992	67.9996518618192	1086	256
q4_1	1664	eval	5	14.909232186772611	68.04139949505262	1086	256
